Date,NumOfLikes,NumOfFollows,NumOfComments,NumOfDownloads,numOfUploads
08/08/2023,143.0,33.0,0.0,110480.0,6.009/08/2023,0,0,0,0,0
09/08/2023,0,0,0,0,0
15/09/2023,0,0,0,0,0
